CODE,Name,Latin,license notice HTML (https://lizenzhinweisgenerator.de/),Photolink,license notice for plain text 
MELGA,Turkey,Meleagris gallopavo,"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg"">089 - WILD TURKEY (3-20-09) canet rd, sloco, ca (3) (8719904231)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>","https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg","ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg), „089 - WILD TURKEY (3-20-09) canet rd, sloco, ca (3) (8719904231)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
MELUN,Budgerigar,Melopsittacus undulatus,"anonymous, <a href=""https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg"">Twogreenmalebudgies</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg,"anonymous (https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg), „Twogreenmalebudgies“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self"
MERNU,Carmine bee-eater,Merops nubicoides,"<a href=""https://www.flickr.com/people/9919745@N03"">Ron Knight</a> from Seaford, East Sussex, United Kingdom, <a href=""https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg"">Merops nubicoides, Shakawa, Botswana 1</a>, <a href=""https://creativecommons.org/licenses/by/2.0/legalcode"" rel=""license"">CC BY 2.0</a>","https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg","Ron Knight from Seaford, East Sussex, United Kingdom (https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg), „Merops nubicoides, Shakawa, Botswana 1“, https://creativecommons.org/licenses/by/2.0/legalcode"
MESUN,Brown mesite,Mesitornis unicolor,"Marc Athanase Parfait Œillet Des Murs (1804-1878), <a href=""https://commons.wikimedia.org/wiki/File:Mesitornis_unicolor_1849.jpg"">Mesitornis unicolor 1849</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>",https://commons.wikimedia.org/w/index.php?search=Mesitornis+Unicolore&title=Special:MediaSearch&go=Go&type=image,"Marc Athanase Parfait Œillet Des Murs (1804-1878) (https://commons.wikimedia.org/wiki/File:Mesitornis_unicolor_1849.jpg), „Mesitornis unicolor 1849“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old"
NESNO,Kea,Nestor notabilis,"<a href=""https://www.flickr.com/people/88123769@N02"">Bernard Spragg. NZ</a> from Christchurch, New Zealand, <a href=""https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg"">The Kea ( Nestor notabilis) (8100901392)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>",https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg,"Bernard Spragg. NZ from Christchurch, New Zealand (https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg), „The Kea ( Nestor notabilis) (8100901392)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
NIPNI,Crested ibis,Nipponia nippon,"<a href=""https://commons.wikimedia.org/wiki/User:Danielinblue"">Danielinblue</a>, <a href=""https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi'an.jpg"">Zhuhuan2 xi'an</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/legalcode"" rel=""license"">CC BY-SA 3.0</a>",https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi%27an.jpg,"Danielinblue (https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi'an.jpg), „Zhuhuan2 xi'an“, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
OPHHO,Hoatzin,Opisthocomus hoazin,"<a href=""https://www.wikidata.org/wiki/Q18508574"">Paul Louis Oudart</a> artist QS:P170,Q18508574 <a href=""/w/index.php?title=Creator:C._Motte&amp;action=edit&amp;redlink=1"">Creator:C. Motte</a>, <a href=""https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif"">Opisthocomus hoazin - 1825-1834 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ19300059</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif,"Paul Louis Oudart artist QS:P170,Q18508574 Creator:C. Motte (https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif), „Opisthocomus hoazin - 1825-1834 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ19300059“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old"
PELCR,Dalmatian pelican,Pelecanus crispus,,,
PHACA,Great cormorant,Phalacrocorax carbo,,,
PHALE,White-tailed tropicbird,Phaethon lepturus,"<a href=""https://commons.wikimedia.org/wiki/User:Dunog"">Dunog</a>, <a href=""https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG"">Paille2007-12-23-</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG,"Dunog (https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG), „Paille2007-12-23-“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self"
